farmer_id,gender,age,is_youth,is_pwd,disability_type,farmer_type,has_land_title,county,crop,crop_stage,season,phone_type,preferred_channel,preferred_language,literacy_level,loan_request,completed_repayment_history,missed_repayment,has_formal_credit_history,has_sales_records,has_buyer_records,active_savings_group,savings_group_reliability,cooperative_member,cooperative_reliability,cooperative_repayment_score,reliable_buyer,buyer_payment_reliability,verified_input_purchase,input_purchase_count,input_purchase_frequency,extension_support,mobile_money_consistency,peer_lending_reliability,seasonal_income_pattern,market_payment_consistency,climate_risk_level,pest_risk_level,market_delay_risk,localized_pest_outbreak,localized_drought_exposure,latent_repayment_probability,repayment_outcome,target_repaid_on_time
SYN-07693,female,22,True,False,,Youth farmer,False,Machakos,Tomatoes,flowering,short_rains,smartphone,app,sw,medium,17431,True,False,False,True,False,False,none,False,none,,True,strong,True,3,medium,False,medium,strong,stable,weak,low,low,low,low,low,0.9743,early,1
SYN-09819,female,62,False,False,,Women farmer,False,Kakamega,Potatoes,vegetative,long_rains,shared_phone,ussd,en,low,14402,True,False,False,True,True,False,none,True,weak,47.0,True,strong,True,3,medium,False,medium,none,stable,weak,low,high,medium,high,low,0.8422,late,0
SYN-25940,female,43,False,False,,Women farmer,False,Kakamega,Beans,planting,long_rains,smartphone,ussd,sw,high,7981,True,False,False,False,False,True,strong,True,medium,65.0,False,none,True,1,low,True,high,strong,stable,medium,medium,medium,low,medium,medium,0.9757,on_time,1
SYN-06136,female,27,True,False,,Youth farmer,False,Kakamega,Sorghum,flowering,long_rains,feature_phone,ussd,en,medium,4791,False,False,True,True,False,False,none,False,none,,False,none,True,2,medium,False,medium,medium,volatile,medium,medium,high,medium,high,medium,0.2753,late,0
SYN-02354,male,25,True,True,mobility,PWD farmer,False,Nakuru,Beans,planting,long_rains,smartphone,app,sw,medium,9477,False,True,False,True,False,False,none,False,none,,False,none,True,2,medium,False,low,medium,moderate,none,low,low,medium,low,low,0.4561,fully_repaid,1
SYN-11267,female,62,False,False,,Women farmer,False,Machakos,Tomatoes,vegetative,long_rains,feature_phone,ussd,sw,medium,17121,True,True,False,False,False,True,medium,True,weak,52.0,False,none,True,1,low,False,low,medium,unknown,medium,medium,medium,medium,none,medium,0.3794,late,0
SYN-23469,female,57,False,False,,Women farmer,False,Kakamega,Maize,flowering,dry_season,feature_phone,ussd,en,low,12376,True,False,True,False,True,True,weak,True,weak,60.0,True,medium,True,3,medium,False,high,medium,moderate,medium,medium,high,medium,high,medium,0.9202,fully_repaid,1
SYN-04623,female,46,False,False,,Women farmer,False,Uasin Gishu,Potatoes,harvest,short_rains,feature_phone,ussd,en,high,12336,False,False,False,True,True,False,none,False,none,,True,medium,False,0,none,False,medium,strong,unknown,medium,medium,high,medium,medium,medium,0.4416,defaulted,0
SYN-14858,male,40,False,True,hearing,PWD farmer,False,Kisumu,Beans,flowering,short_rains,feature_phone,ussd,en,high,5635,False,False,False,True,True,True,medium,True,strong,87.0,True,strong,True,1,low,False,low,none,moderate,medium,high,medium,medium,none,high,0.9224,on_time,1
SYN-13834,male,51,False,False,,Smallholder farmer,False,Kakamega,Maize,harvest,short_rains,feature_phone,ussd,sw,medium,7091,False,False,False,False,True,True,weak,False,none,,True,medium,True,6,high,False,medium,strong,moderate,medium,low,high,medium,low,low,0.8652,on_time,1
